39,2
24,1
85,99
48,71
99,97
78,63
90,93
98,59
73,34
53,4
10,83
89,46
27,55
39,90
65,70
10,41
66,73
23,50
78,21
1,62
61,20
84,51
32,89
76,77
24,62
72,36
55,22
92,83
13,66
12,17
32,30
3,85
16,19
1,80
57,51
25,41
11,78
39,14
82,3
89,25
1,89
54,41
90,34
10,35
45,42
39,34
7,99
93,90
11,45
53,66
25,66
96,57
93,24
5,7
3,54
66,27
9,20
33,80
34,75
49,65
78,3
96,69
54,77
39,1
84,38
55,47
57,34
11,76
32,69
30,5
60,70
47,15
64,77
8,38
75,63
4,54
88,15
14,9
50,41
30,61
78,94
85,75
85,78
72,34
43,68
23,71
81,51
78,69
57,68
66,82
39,87
93,63
20,58
36,56
65,22
73,99
95,10
62,99
90,51
96,51
42,79
74,46
69,82
86,51
36,54
76,61
50,32
74,17
42,37
4,18
12,3
41,99
26,91
26,92
58,31
49,46
73,1
96,20
52,99
43,4
44,30
89,40
9,68
77,80
44,13
87,74
76,19
2,54
88,6
43,31
85,91
33,12
95,23
50,98
75,74
52,67
18,28
38,65
76,49
57,48
86,18
21,29
51,33
57,66
74,91
69,7
68,45
52,28
74,54
90,21
55,40
19,1
55,68
70,99
72,98
99,14
78,90
90,65
52,33
33,64
71,59
7,73
19,14
26,38
83,76
58,45
31,53
44,9
52,83
69,58
31,73
28,71
72,77
62,77
16,46
53,89
73,81
77,62
13,74
6,83
99,45
38,42
97,29
77,44
89,44
14,94
7,43
33,69
48,12
70,95
90,39
92,7
56,5
4,42
67,76
58,39
4,61
13,20
95,53
60,6
21,34
97,5
52,15
20,3
6,47
62,41
61,40
36,74
88,42
90,21
42,51
27,40
29,78
47,91
73,85
9,84
99,86
92,40
19,34
42,24
64,52
65,92
28,50
63,51
48,55
53,58
93,64
62,88
70,63
62,31
25,50
16,25
73,99
18,20
59,16
24,56
7,10
88,83
77,25
61,74
5,1
55,83
57,65
98,3
24,35
97,70
11,45
97,9
54,55
40,17
97,16
79,5
12,90
99,94
21,39
75,12
51,38
33,28
78,19
11,2
20,65
22,91
86,35
5,27
99,62
30,68
10,82
25,58
24,18
82,61
84,30
87,74
70,70
80,76
61,99
84,21
61,59
4,89
1,95
52,16
27,96
53,40
90,84
73,10
49,31
46,83
93,94
99,23
19,45
99,81
81,17
86,72
11,40
24,10
70,2
40,17
94,71
52,82
85,15
29,90
64,41
20,99
13,11
61,82
49,94
38,37
30,7
4,60
